word,count
'sentiment':,77
{'text':,76
Donald,46
'RT,40
the,33
is,33
to,32
Trump,32
a,31
"'negative'},",28
"'neutral'},",24
"'positive'},",24
and,22
that,19
of,18
in,14
for,14
he,14
"""""RT",13
Mueller,10
not,9
has,8
I,8
about,8
his,7
on,6
be,6
more,6
President,6
with,6
you,5
If,5
what,5
many,5
like,5
from,5
my,5
we,5
who,5
was,5
trump,4
this,4
This,4
Russia,4
little,4
have,4
as,4
into,4
health,4
an,4
but,4
"""""The",4
"Trump,",4
J,3
said,3
been,3
Trump.,3
Trump’s,3
only,3
Not,3
someone,3
care,3
de,3
two,3
report,3
just,3
will,3
The,3
wealth,3
successfully,3
prosecuted,3
people,3
close,3
Trump!,3
\nMy,3
take,3
almost,3
if,3
shows,3
off,3
William,2
Barr,2
release,2
else,2
How,2
through,2
hate,2
@BillKristol:,2
at,2
pay,2
@tonyposnanski:,2
donald,2
@RepDonBeyer:,2
today's,2
news,2
bit,2
[thread]\n\nDonald,2
promised,2
repeatedly,2
deliver,2
@HoarseWisperer:,2
toward,2
your,2
@realDonaldTrump,2
la,2
are,2
against,2
drunk,2
would,2
go,2
Trump's,2
by,2
Golan,2
then,2
than,2
"Trump.',",2
can,2
one,2
ran,2
no,2
plan,2
person,2
thinks,2
made,2
false,2
those,2
put,2
faith,2
actual,2
crime,2
\n\nDonald,2
all,2
evidence,2
stand,2
it,2
going,2
good,2
And,2
still,2
DID,2
A,2
"everyone,",2
everyone,2
day,2
All,2
before,2
story,2
It’s,2
goes,2
Republicans,2
let,2
You,2
were,2
he’s,2
It's,2
celebrity.,2
so,2
John,2
'very,2
"""[{'text':",1
@cursedcoochie:,1
Jah,1
"🙏',",1
@TeaPainUSA:,1
Read,1
statement,1
carefully!,1
Total,1
bull,1
"squirt!\n\n""""Attorney",1
General,1
planning,1
HIS,1
REPORT,1
"Rob…',",1
'@BradTakei,1
Trump.What,1
"doing?',",1
@jonathanalter:,1
“A,1
Crime,1
Public,1
View”:,1
Pardoned,1
|,1
Vanity,1
Fair.,1
\u2066@ScottTurow\u2069,1
cuts,1
fog.,1
"htt…',",1
@JamesWStork:,1
Do,1
Trump?,1
Please,1
RT.,1
"Thanks!',",1
want,1
know,1
why,1
it's,1
important,1
re-elected,1
"2020,",1
look,1
around.,1
triumphalist,1
"Trum…"""",",1
@politico:,1
Senate,1
Majority,1
Leader,1
Mitch,1
McConnell,1
Tuesday,1
supported,1
Sen.,1
Lindsey,1
Graham’s,1
plans,1
investigate,1
alleged,1
"poli…',",1
@joncoopertweets:,1
Jr:,1
“I've,1
times.,1
Spent,1
lot,1
time,1
looking,1
deals,1
Moscow,1
"2005,",1
2006,1
"200…"""",",1
'A,1
boy,1
sold,1
hot,1
chocolate,1
wall,1
—,1
needs,1
sell,1
12.5…,1
"https://t.co/bWWPt1AKP3',",1
Let’s,1
clear...\n\nPaul,1
Manafort-,1
Guilty\n\nMichael,1
Cohen-,1
Guilty\n\nDonald,1
Trump-,1
Exonerated\n\nJussie,1
Smollett-,1
"char…',",1
'@ClayTravis,1
@Phillip91938500,1
Is,1
jussie,1
smollett,1
random,1
actor,1
