word,count
text,825
sentiment,825
rt,587
trump,547
the,410
neutral,379
donald,340
positive,309
a,287
to,281
bush,208
barbara,205
of,189
and,181
for,176
in,163
is,149
negative,137
that,127
her,109
with,87
he,84
i,83
new,79
his,78
president,77
on,74
you,70
she,69
not,68
,68
book,65
about,60
if,60
it,57
from,56
this,53
heart,50
be,50
at,50
we,48
no,46
all,46
have,45
attack,44
so,43
de,43
que,41
one,40
mueller,40
by,38
who,38
are,37
but,37
has,36
was,35
how,34
your,34
realdonaldtrump,34
jr,34
said,33
amp,31
first,31
they,30
as,30
former,29
says,29
what,29
will,29
more,28
than,28
biography,28
me,28
blames,28
after,28
get,27
puerto,27
like,25
were,25
trumps,24
up,24
my,24
lady,23
disliked,23
say,23
had,23
him,23
rico,23
can,22
j,22
out,22
would,21
herself,21
down,21
el,21
our,21
only,20
time,20
right,20
house,20
report,20
great,20
details,19
republican,19
still,19
people,19
just,19
dbongino,19
blamed,18
george,18
claims,18
caused,18
last,18
an,18
news,18
h…,17
now,17
week,17
do,17
or,17
via,17
special,17
la,17
trump’s,17
presidente,17
should,17
been,17
barr,17
border,17
jussie,16
much,16
care,16
bushs,15
could,15
over,15
olympics,15
these,15
better,15
se,15
see,15
schiff,15
hes,14
clinton,14
longer,14
back,14
today,14
bush’s,14
thing,14
also,14
a…,14
most,14
did,14
let,14
2019,14
take,14
más,14
man,14
never,13
family,13
fiercely,13
means,13
called,13
can’t,13
washington,13
days,13
obama,13
ahora,13
march,13
stop,13
wants,13
adam,13
stand,13
ill,12
country,12
qanon,12
dislike,12
russian,12
there,12
year,12
funding,12
endorsed,12
i’m,12
por,12
t…,12
close,12
cant,12
adorocinema,12
politico,11
wrote,11
horrible,11
left,11
us,11
2020,11
why,11
obamacare,11
under,11
dead,11
death,11
any,11
being,11
things,11
breaking,11
russia,11
need,11
un,11
william,11
bully,11
america,11
every,11
cnn,11
running,10
vote,10
im,10
considered,10
upcoming,10
party,10
page,10
which,10
clock,10
points,10
democrats,10
when,10
got,10
httpstco…,10
putin,10
office,10
night,10
hillary,10
know,10
con,10
its,10
government,10
it’s,10
poll,10
y,10
white,10
ever,10
them,10
en,10
going,10
make,10
devincow,10
duque,10
long,9
tells,9
along,9
old,9
go,9
may,9
found,9
tru…,9
e…,9
distrust,9
tweet,9
pro…,9
reason,9
person,9
presidency,9
chris,9
want,9
don’t,9
sorry,9
next,9
years,9
del,9
venezuela,9
o,9
los,9
must,9
governor,9
he’s,9
es,9
smollett,9
i…,9
budget,9
campaign,9
gop,8
husband,8
he…,8
breitbartnews,8
nn,8
diary,8
rl9631,8
mcspocky,8
consider,8
“the,8
hoax,8
q,8
countdown,8
less,8
jeb,8
smart,8
where,8
into,8
end,8
amysiskind,8
billionaire,8
thehill,8
political,8
told,8
https…,8
committee,8
robert,8
maddowblog,8
acnewsitics,8
joncoopertweets,8
approval,8
resign,8
visit,8
nuclear,8
straight,8
thought,8
droga,8
todays,7
far,7
ive,7
greed,7
maga,7
went,7
van,7
susanpage,7
nbcnews,7
cyrusmmcqueen,7
love,7
post,7
bad,7
attacks,7
b…,7
http…,7
thedemcoalition,7
support,7
evans,7
didn’t,7
—,7
yeah,7
because,7
think,7
oversight,7
some,7
big,7
taken,7
away,7
push,7
edkrassen,7
punch,7
radical,7
always,7
rating,7
jumps,7
five,7
during,7
north,7
donaldjtrumpjr,7
ha,7
tom,7
continued,7
men,7
memo,7
alexandria,7
ocasiocortez,7
nada,7
colombia,7
hatred,6
1990s,6
low,6
voter,6
greatawakening,6
mr,6
and…,6
please,6
golf,6
quote,6
especially,6
⚡️,6
“barbara,6
war,6
republicans,6
msnbc,6
course,6
picked,6
cares,6
probably,6
id,6
believe,6
plan,6
eliminate,6
killer,6
worst,6
that…,6
“putin,6
american,6
the…,6
does,6
fund,6
le,6
